,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
539,539,24665,5.29216,24.009677,11.64,-21.27,-76.28,6.85,1.061,0,0,0.21199439918086582
541,541,24116,5.179869999999998,20.569175,11.56,41.16,-25.71,7.84,0.445,0,0,0.11016701237202538
542,542,22347,4.811465,16.634276,11.55,24.76,-79.26,7.57,0.433,0,0,0.3717637547878203
545,545,13757,2.951476,7.653436,11.48,50.12,-10.89,8.8,0.528,0,0,-0.05881298316466173
547,547,19641,4.20871,17.27746,11.42,49.14,-19.59,6.09,1.081,0,0,0.054826843689576764
549,549,22773,4.898789,15.931696,11.37,-6.11,-107.85,7.61,0.523,0,0,0.2899176894883492
550,550,21226,4.552743,4.970118,11.35,55.34,-73.65,8.74,0.512,0,0,0.32880720576093647
553,553,25813,5.51307,5.948139,11.3,6.57,-32.45,4.2,-0.14300000000000002,0,0,-0.11174078000302748
555,555,28348,5.990138,17.81476,11.27,25.22,-86.96,7.92,0.531,0,0,0.3628556570781056
556,556,23807,5.117064,16.827424,11.26,51.76,-55.69,8.46,0.488,0,0,0.32481794957245136
558,558,23423,5.0340120000000015,16.190695,11.25,14.46,-21.2,8.73,0.509,0,0,-0.28386924600144536
559,559,27828,5.88861,22.07215,11.25,-75.3,-77.84,8.4,0.552,0,0,0.035819770685338995
561,561,15619,3.35189,3.67562,11.23,56.05,-25.17,5.7,0.964,0,0,0.11471545263945708
563,563,17552,3.758885,21.246693,11.21,19.02,-47.65,7.75,0.179,0,0,0.30732462479379347
565,565,21442,4.604889,21.689208,11.19,61.76,-71.31,8.18,0.456,0,0,0.31830195386730825
566,566,25694,5.487666,21.315895,11.17,9.43,-27.09,8.15,0.602,0,0,-0.1900864561808769
574,574,16399,3.519284,13.575851,11.11,4.91,-106.95,8.77,0.504,0,0,0.31171498725237756
575,575,20785,4.452053,20.990885,11.09,10.22,-51.36,8.57,0.797,0,0,0.28156055855841655
577,577,16748,3.5911410000000004,14.174846,11.04,-39.08,-78.47,9.87,0.58,0,0,0.1413202771991801
581,581,13913,2.986221,19.989837,10.94,51.89,-25.89,7.34,0.396,0,0,0.134158968498123
582,582,25483,5.449999,7.170285000000002,10.94,8.53,-32.79,7.03,0.141,0,0,-0.07612733159772184
583,583,18692,4.004626,14.305905,10.93,54.46,-18.63,8.28,0.487,0,0,0.05892609187948514
584,584,18595,3.978901,17.119018,10.93,28.82,-61.13,8.3,0.498,0,0,0.3736208937989621
586,586,22851,4.9163120000000005,11.942195,10.89,25.59,-27.99,9.62,0.552,0,0,0.0390172060607143
587,587,27280,5.781149,9.522343,10.88,-33.29,-64.54,5.78,0.888,0,0,0.0883836920169006
594,594,20273,4.345557,8.408992999999999,10.81,39.69,-143.91,8.95,0.83,0,0,0.2708398137667319
597,597,22729,4.889457,24.177362,10.78,11.88,-23.9,7.64,0.664,0,0,-0.22992925629542893
599,599,19427,4.160582,11.467403,10.76,-13.79,-43.0,9.14,0.624,0,0,-0.06102327920232534
602,602,13974,3.000169,7.102449000000001,10.69,38.14,-93.58,9.64,0.644,0,0,0.3454434598692359
603,603,27924,5.908963,11.7632,10.69,27.41,-41.71,6.59,0.029,0,0,0.2725193069252604
604,604,25453,5.4441190000000015,6.868658,10.68,9.64,-32.53,6.41,-0.023,0,0,-0.06976974233972476
605,605,26625,5.659043,12.003876,10.66,19.2,-43.85,7.78,0.399,0,0,0.26384165022413736
612,612,15288,3.287563,10.142176,10.54,58.28,1.74,9.16,0.501,0,0,-0.1221696258169307
616,616,17238,3.691569,13.523372,10.51,23.0,-92.82,9.21,0.635,0,0,0.3528265856470652
619,619,27581,5.8413629999999985,14.305608,10.44,4.42,-37.43,5.54,1.006,0,0,0.008778972529744961
620,620,26161,5.57734,6.1268699999999985,10.43,8.78,-32.61,7.73,0.251,0,0,-0.0816271593316237
622,622,19975,4.283673,19.675685,10.42,3.48,-103.1,7.12,0.444,0,0,0.31380582047108996
623,623,13579,2.9153330000000004,17.734755,10.41,44.58,-24.46,7.01,0.28,0,0,0.10332395374064655
624,624,25419,5.4372300000000005,16.698295,10.4,19.46,-28.06,9.42,0.56,0,0,-0.02790015797030979
