,Unnamed: 0,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep
823,823,5466,79,826,1,4.06239,5.435609,2.3,-11.9,5.207000000000002,5.3,5.308,-0.079,25558,18957.0,3.12,0,1
824,824,5467,79,893,1,4.136355,5.2433809999999985,10.3,-25.2,11.829,10.909,10.826,0.782,      ,,,0,1
825,825,5468,79,914,1,4.137474,5.895994,39.9,80.5,11.107,10.198,10.116,0.773,      ,,,0,1
826,826,5469,79,922,1,4.002204,5.280489,11.6,-13.0,11.811,11.226,11.173,0.4970000000000001,      ,,,0,1
827,827,5470,79,923,1,4.007567,5.334599,28.4,-0.3,9.955,9.352,9.298,0.513,      ,18709.0,6.53,0,1
828,828,5471,79,924,1,4.014474,5.615082,-8.7,4.4,11.472,10.853,10.797,0.526,      ,,,0,1
829,829,5472,79,958,1,4.04179,7.246295,-0.4,-8.7,10.702,10.235,10.193,0.397,      ,18852.0,3.2,0,1
830,830,5473,79,961,1,4.144616,5.823668,-4.2,-5.5,11.946,10.101,9.935,1.568,      ,,,0,1
831,831,5474,79,965,1,4.046767,5.1182050000000014,-57.2,-10.3,11.029000000000002,10.491,10.443,0.457,      ,,,0,1
832,832,5475,79,983,1,4.042452,6.631123,-23.0,-9.0,11.929,10.865,10.769,0.904,      ,18856.0,12.63,0,1
833,833,5476,79,998,1,4.140453,5.142544,25.4,-15.7,11.158,10.372,10.300999999999998,0.6679999999999999,      ,,,0,1
834,834,5477,79,1002,1,4.004288,6.30748,4.3,-8.1,11.23,10.672,10.622,0.474,      ,,,0,1
835,835,5478,79,1019,1,4.007261,5.274058,8.4,7.5,10.984000000000002,9.849,9.747,0.965,      ,,,0,1
836,836,5479,79,1025,1,4.137988,6.2109440000000005,-7.2,9.5,10.812,9.521,9.405,1.097,      ,,,0,1
837,837,5480,79,1054,1,4.026898,5.856073,6.9,-6.5,11.300999999999998,11.008,10.982,0.249,      ,,,0,1
838,838,5481,79,1138,1,4.09286,5.517174,3.3,-17.6,10.06,8.743,8.624,1.119,      ,,,0,1
839,839,5482,79,1151,1,4.012688,5.668089,17.9,-21.3,11.219,10.646,10.594,0.487,      ,,,0,1
840,840,5483,79,1162,1,4.0969120000000006,5.429643,16.0,3.3,10.466,10.049,10.011,0.354,      ,,,0,1
841,841,5484,79,1169,1,4.01314,5.082817,22.4,-10.5,9.018,8.642000000000001,8.607999999999999,0.32,25248,18734.0,5.2,0,1
842,842,5485,79,1178,1,4.0136379999999985,5.448407,12.0,-4.8,12.02,9.77,9.568,1.913,      ,,,0,1
843,843,5486,79,1186,1,4.12372,5.355685,-46.3,-72.1,12.232,10.956,10.841,1.085,      ,,,0,1
844,844,5487,79,1585,1,4.052605000000002,5.989307,1.2,-0.8,3.956,3.903,3.898,0.045,25490,18907.0,25.24,0,1
845,845,5488,80,31,1,4.172651,7.147774000000001,-11.9,-4.9,11.828,10.137,9.985,1.4369999999999998,      ,,,0,1
846,846,5489,80,35,1,4.296938,6.886243,7.6,2.6,11.769,10.305,10.173,1.244,      ,,,0,1
847,847,5490,80,85,1,4.197707,7.435286,27.9,-20.8,11.4,10.87,10.822,0.451,      ,,,0,1
848,848,5491,80,89,1,4.315803,7.2710240000000015,17.4,-11.1,9.901,9.486,9.449,0.353,      ,20128.0,4.44,0,1
849,849,5492,80,113,1,4.21111,6.371711,55.2,-42.7,11.593,10.665,10.581,0.789,      ,,,0,1
