,Unnamed: 0,Unnamed: 0.1,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep,cluster,silhouette
324,326,326,4405,63,415,1,3.4660879999999996,7.2550550000000005,31.2,-25.1,10.484000000000002,9.929,9.879,0.47200000000000003,      ,,,0,1,0,0.40707288941400505
326,328,328,4407,63,489,1,3.4639900000000003,7.220828,26.3,-14.7,11.774000000000001,10.262,10.126,1.285,      ,,,0,1,0,0.3057637775274647
329,331,331,4410,63,663,1,3.434686,5.535573,29.8,-13.7,10.472000000000001,8.931000000000003,8.792,1.31,21270,16003.0,4.06,0,1,0,0.29426881454532694
333,335,335,4414,63,726,1,3.4288480000000003,6.8404789999999975,14.5,-16.5,11.344000000000001,9.901,9.771,1.227,      ,,,0,1,0,0.19014517252100038
341,343,343,4422,63,1063,1,3.379712,6.799550999999999,7.2,-18.6,11.552,10.695,10.618,0.728,      ,15738.0,4.71,0,1,0,0.04204288888933185
344,346,346,4425,63,1157,1,3.472914,5.4000910000000015,31.5,-28.6,10.863,10.149,10.085,0.607,      ,,,0,1,0,0.40765578635912564
346,348,348,4427,63,1226,1,3.390375,5.544723,24.2,-18.9,11.979000000000001,9.922,9.737,1.7480000000000002,      ,,,0,1,0,0.3438774917684904
348,350,350,4429,63,1380,1,3.4935690000000004,5.923147,16.4,-16.9,10.24,9.209,9.116,0.8759999999999999,      ,,,0,1,0,0.23319543798355405
352,354,354,4433,63,1454,1,3.4949449999999995,6.615805,3.7,-22.6,11.299000000000001,10.66,10.602,0.5429999999999999,      ,,,0,1,0,0.07141567419252594
353,355,355,4434,63,1457,1,3.458876,5.870433,10.4,-43.7,8.831,7.3260000000000005,7.191,1.2790000000000001,21440,16108.0,3.89,0,1,0,0.34369623915646
356,358,358,4651,67,559,1,3.516971,4.056471,19.3,-30.9,10.899000000000001,10.165,10.099,0.624,      ,,,0,1,0,0.3978665392925023
360,362,362,4655,67,626,1,3.5069470000000003,4.138237999999999,31.5,-5.8,11.578,10.552,10.46,0.872,      ,,,0,1,0,0.17621642437129617
372,375,375,4669,67,902,1,3.6092449999999996,3.6688160000000014,10.4,-17.7,11.482999999999999,9.887,9.743,1.357,      ,,,0,1,0,0.09772491744067538
375,378,378,4672,67,929,1,3.625547,3.6819290000000002,12.7,-10.6,11.782,9.993,9.832,1.521,      ,,,0,1,0,-0.07064422942554857
377,380,380,4674,67,945,1,3.619508,4.0156849999999995,20.4,-3.1,10.001,9.507,9.463,0.42,22501,,,0,1,0,-0.047893370211520035
379,382,382,4676,67,1056,1,3.5704550000000004,3.4322769999999996,-1.7,-35.7,8.967,7.631,7.511,1.136,22149,16651.0,5.86,0,1,0,0.17333716098803964
380,383,383,4677,67,1057,1,3.54756,3.9529970000000003,2.8,-21.3,12.175999999999998,10.632,10.493,1.3119999999999998,      ,,,0,1,0,-0.006102338046140879
389,392,392,4687,67,1359,1,3.5665400000000003,3.995778,45.1,-24.9,10.324000000000002,9.843,9.8,0.409,      ,,,0,1,0,0.28287238921699515
391,394,394,4689,67,1422,1,3.650264,3.540304,31.6,1.1,10.399000000000001,8.941,8.81,1.239,22685,,,0,1,0,0.06841566347760927
396,399,399,4694,67,1546,1,3.658182,4.840333,12.6,-11.3,11.667,11.030999999999999,10.974,0.541,      ,,,0,1,0,-0.052249502603990784
397,400,400,4695,67,1571,1,3.657267,3.5369699999999997,13.0,-15.3,11.645,11.033,10.978,0.52,      ,,,0,1,0,0.09353665233992839
402,405,405,4701,67,1682,1,3.6133059999999997,3.442053,6.0,-29.7,11.557,11.109000000000002,11.069,0.381,      ,,,0,1,0,0.24200761732327639
407,410,410,4728,68,455,1,3.672365,4.92002,40.4,-34.8,10.03,9.454,9.402000000000001,0.49,22852,,,0,1,0,0.37863640966650536
408,411,411,4729,68,477,1,3.6837089999999995,3.708053,33.5,6.0,10.439,9.816,9.76,0.53,      ,,,0,1,0,0.021849889240754997
411,414,414,4732,68,601,1,3.6796480000000003,4.33744,-1.8,-23.2,10.508,9.765,9.698,0.632,      ,,,0,1,0,-0.06052512545985098
412,415,415,4733,68,664,1,3.70371,3.432329,-2.9,-41.8,9.399,8.124,8.009,1.084,23053,,,0,1,0,0.19570582477682838
413,416,416,4734,68,754,1,3.6801220000000003,4.317065,25.0,-10.9,8.783999999999999,8.538,8.516,0.209,22903,,,0,1,0,0.2105194526682124
416,419,419,4737,68,803,1,3.727701,4.2126589999999995,19.9,-12.6,9.366,9.067,9.04,0.254,23248,,,0,1,0,0.1792394664765882
419,422,422,4740,68,847,1,3.6883169999999996,4.549365,21.9,-33.0,11.18,10.544,10.487,0.541,      ,,,0,1,0,0.4122912969868693
421,425,425,4743,68,902,1,3.741832,3.443978,5.5,-25.0,11.270999999999999,9.419,9.252,1.574,      ,,,0,1,0,0.16180697968986488
432,436,436,4755,68,1310,1,3.773778,3.754578,25.5,0.9,11.324000000000002,10.182,10.079,0.971,      ,17615.0,,0,1,0,-0.017176838222044227
436,440,440,4776,69,335,1,3.9952959999999997,4.539013,24.0,-2.3,11.536,10.125,9.998,1.199,      ,,,0,1,0,0.016686278199942943
442,446,446,4782,69,393,1,3.913676,4.768341,41.7,-26.8,11.322000000000001,10.904000000000002,10.866,0.355,      ,,,0,1,0,0.36076876316048406
443,447,447,4783,69,405,1,3.990999,3.7839089999999995,23.5,-6.3,9.867,8.361,8.225,1.28,25114,18645.0,4.09,0,1,0,0.09264951739708294
449,453,453,4791,69,539,1,3.9785150000000002,3.5255629999999996,20.6,-9.4,9.758,8.388,8.265,1.165,25035,,,0,1,0,0.11042149001219873
450,454,454,4792,69,541,1,3.943248000000001,4.081232,4.2,-33.6,9.693999999999999,9.081,9.026,0.521,24791,,,0,1,0,0.25466110322228824
451,455,455,4793,69,544,1,3.954044,4.3018730000000005,-7.2,-31.0,11.499,9.883,9.738,1.374,      ,,,0,1,0,0.02280112981710162
453,457,457,4795,69,553,1,3.9157089999999997,3.5909199999999997,-5.1,-28.7,11.579,10.155,10.027000000000001,1.21,      ,,,0,1,0,0.013316910638183063
457,461,461,4801,69,711,1,3.8993550000000003,4.900201,14.1,-17.0,10.717,10.216000000000001,10.171,0.426,      ,18234.0,5.29,0,1,0,0.18081281349820733
461,465,465,4805,69,851,1,3.857846,4.723679,12.9,-13.4,11.937000000000001,10.517999999999999,10.39,1.206,      ,,,0,1,0,0.03414990340711948
466,470,470,4810,69,1128,1,3.8435379999999997,4.059666,27.3,-18.2,11.460999999999999,11.16,11.133,0.256,      ,,,0,1,0,0.3332945529017158
469,473,473,4814,70,7,1,3.5231779999999997,6.981777,29.1,-29.2,10.102,9.507,9.453,0.506,21821,,,0,1,0,0.42381204216947355
470,474,474,4815,70,28,1,3.528317,7.129631,15.3,-33.8,11.092,10.440999999999999,10.382,0.5529999999999999,      ,,,0,1,0,0.4027088024875231
475,479,479,4820,70,241,1,3.5320080000000003,7.468067,42.9,-20.7,11.798,10.467,10.347000000000001,1.131,      ,,,0,1,0,0.33931336845403887
479,484,484,4825,70,384,1,3.552204,5.002228,9.5,-15.8,11.665,10.639000000000001,10.547,0.872,      ,,,0,1,0,0.008342665133393833
485,490,490,4831,70,447,1,3.6326980000000004,5.475879,-2.5,-29.4,11.605,10.860999999999999,10.794,0.632,      ,,,0,1,0,0.08421688544980194
488,493,493,4834,70,495,1,3.643396,6.419318,2.5,-27.4,11.695,9.584,9.394,1.794,      ,,,0,1,0,0.16004772842876566
490,495,495,4836,70,586,1,3.586155,5.714009,7.8,-35.8,8.054,7.529,7.482,0.446,22255,16723.0,16.71,0,1,0,0.3193169698808666
491,496,496,4837,70,597,1,3.558005,6.351785,8.2,-45.9,10.652000000000001,9.212,9.082,1.224,22046,,,0,1,0,0.3274937571406676
505,510,510,4851,70,979,1,3.539158,6.332872,31.0,-22.3,11.363,10.752,10.697000000000001,0.519,      ,,,0,1,0,0.3859355505141085
506,511,511,4852,70,990,1,3.608194,5.3492440000000006,9.2,-45.4,10.77,9.627,9.524,0.972,      ,,,0,1,0,0.33223450288910183
508,513,513,4854,70,1050,1,3.5475209999999997,5.254594,24.9,-27.7,8.543,7.422999999999999,7.322,0.9520000000000001,21993,16530.0,5.62,0,1,0,0.4058284864994445
510,515,515,4856,70,1108,1,3.589828,5.795999,24.5,-2.1,11.853,11.182,11.122,0.57,      ,,,0,1,0,0.023752453853184793
512,517,517,4858,70,1164,1,3.5553800000000004,4.999999,24.6,-31.4,10.475,9.892999999999999,9.841000000000001,0.495,      ,,,0,1,0,0.4185402791028577
516,521,521,4862,70,1209,1,3.5932150000000003,7.3751630000000015,46.2,-30.1,11.315999999999999,10.458,10.380999999999998,0.7290000000000001,      ,,,0,1,0,0.27154023906250896
519,524,524,4865,70,1239,1,3.61795,6.86832,1.6,-26.8,10.482000000000001,9.95,9.902000000000001,0.452,      ,,,0,1,0,0.12963506353258286
522,527,527,4868,70,1252,1,3.5785709999999997,6.843303999999999,22.1,-45.3,10.394,9.649,9.582,0.633,22197,16689.0,9.24,0,1,0,0.39275494132852234
524,529,529,4870,70,1270,1,3.5766910000000003,7.2278910000000005,3.1,-37.1,10.156,8.924,8.812999999999997,1.047,22183,,,0,1,0,0.27521851816795834
525,530,530,4871,70,1277,1,3.6291059999999997,7.271778999999999,15.2,-8.3,9.677999999999999,9.215,9.173,0.39399999999999996,22539,16918.0,4.03,0,1,0,-0.06199997591356266
