recno;TYCID1;TYCID2;TYCID3;RA_J2000_24;DE_J2000;pmRA;pmDE;BT;VT;V;B-V;HD;HIP;Plx;is_hyades;cluster;silhouette
101709;1225;1669;1;3.146116;15.036677;16.2;-11.5;10.936;10.127;10.054;0.688;19519;;;0;3;0.0907400286
101710;1225;1710;1;3.089905;15.16612;23;-15.7;11.681;10.927;10.859;0.641;      ;;;0;3;0.105713777
101711;1225;1737;1;3.180059;15.37304;-1.7;-43.1;9.167;8.596;8.545;0.485;19710;;;0;3;0.1547891413
101712;1225;1748;1;3.185341;15.499163;2.8;-4;11.41;10.861;10.812;0.467;      ;;;0;3;0.1713676388
101713;1225;1774;1;3.162461;15.364386;3.1;18.3;10.56;10.325;10.304;0.2;19601;;;0;3;0.1252378054
101715;1225;1831;1;3.18663;15.472957;4.4;-12.8;10.323;9.795;9.747;0.449;      ;;;0;3;0.1676898675
101805;1227;24;1;3.009673;18.631662;-23.7;-8;9.743;9.28;9.238;0.394;      ;;;0;3;0.392138611
101807;1227;29;1;2.99916;18.789325;-8.3;-11.9;10.447;9.978;9.936;0.399;      ;;;0;3;0.3985903122
101812;1227;160;1;2.984436;18.879631;1.9;5.5;11.503;10.957;10.908;0.464;      ;;;0;3;0.4086188774
101814;1227;188;1;2.978766;18.324709;6;-10.7;9.304;9.043;9.02;0.222;18476;;;0;3;0.3250460441
101819;1227;302;1;2.984189;18.811533;11;-30.6;11.399;10.665;10.599;0.624;      ;;;0;3;0.404037111
101822;1227;362;1;2.922204;18.874688;-36.4;6.3;10.636;9.97;9.91;0.566;      ;;;0;3;0.3948529641
101823;1227;381;1;2.902404;18.30098;21;-3.9;10.485;10.019;9.977;0.396;      ;;;0;3;0.3476756871
101825;1227;403;1;2.927705;18.031382;5.8;-1.3;10.825;10.111;10.047;0.607;      ;;;0;3;0.3459878405
101830;1227;494;1;2.986899;19.287018;4.7;-3.5;11.282;10.741;10.692;0.46;      ;;;0;3;0.427672934
101831;1227;524;1;2.993259;18.746378;49.8;19.4;10.075;9.575;9.53;0.425;      ;;;0;3;0.399291367
101837;1227;607;1;3.021526;17.687722;46;-14.6;11.85;11.244;11.189;0.515;      ;;;0;3;0.3499663485
101839;1227;620;1;2.956611;19.223988;-11.8;-14.4;10.49;9.921;9.87;0.484;      ;;;0;3;0.4190797174
