,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades
75,3847,54,1106,1,2.903483,5.0483150000000006,-17.9,-11.0,7.787000000000001,7.627999999999999,7.614,0.135,18060,13526.0,7.97,0
76,4073,58,136,1,3.130077,3.4120120000000003,5.3,-0.9,8.38,8.096,8.07,0.24100000000000002,19448,,,0
77,4075,58,204,1,3.126195,3.41466,12.0,-7.6,9.99,9.693999999999999,9.667,0.252,      ,,,0
78,4076,58,226,1,3.165454,4.978122,-9.3,-14.2,10.82,10.109,10.045,0.604,      ,,,0
79,4077,58,244,1,3.160809,4.3842099999999995,21.0,13.6,10.922,9.339,9.197000000000001,1.3459999999999999,      ,,,0
80,4078,58,281,1,3.103081,4.8236300000000005,-1.2,-25.3,9.799,8.559,8.447000000000001,1.054,19283,14421.0,4.81,0
81,4079,58,288,1,3.0218990000000003,4.996293,18.2,-22.0,11.918,11.169,11.102,0.637,      ,14071.0,,0
82,4080,58,295,1,3.109845,4.006044999999999,-23.2,-10.3,11.953,11.251,11.187999999999999,0.597,      ,,,0
83,4081,58,337,1,3.050504,3.928413,78.1,-66.8,9.831,9.275,9.225,0.473,      ,,,0
84,4082,58,369,1,3.032987,3.8003449999999996,24.7,13.9,10.998,10.936,10.93,0.053,      ,,,0
85,4083,58,389,1,3.020235,3.997874,16.1,-5.8,11.732000000000001,11.019,10.955,0.606,      ,,,0
86,4084,58,401,1,3.0742380000000002,4.179215,4.6,-6.3,12.352,10.872,10.739,1.258,      ,,,0
87,4085,58,447,1,3.0690150000000003,4.977054,13.6,-11.0,11.197000000000001,10.579,10.523,0.525,      ,,,0
88,4086,58,475,1,3.051546,4.8982,14.0,-5.8,12.204,10.777999999999999,10.65,1.212,      ,,,0
89,4087,58,500,1,3.042157,3.8714410000000004,-8.9,-13.1,10.808,10.17,10.113,0.542,      ,,,0
90,4088,58,502,1,3.09829,4.057974,-9.3,-22.0,10.630999999999998,10.145,10.101,0.413,      ,,,0
91,4089,58,537,1,3.010504,3.45801,4.9,-14.4,11.652999999999999,9.774,9.605,1.597,      ,,,0
92,4090,58,541,1,3.033591,3.794345,10.5,2.7,11.017999999999999,10.639000000000001,10.605,0.322,      ,,,0
93,4091,58,555,1,3.028621,3.547397,27.9,-42.9,9.05,8.697000000000001,8.665,0.3,18814,,,0
94,4092,58,569,1,3.0884560000000003,3.766717,5.5,-2.3,10.299000000000001,9.876,9.838,0.36,      ,14362.0,3.58,0
95,4093,58,597,1,3.087637,4.561476,1.2,-4.9,11.85,10.354000000000001,10.219,1.272,      ,,,0
96,4094,58,599,1,3.084763,3.9971919999999996,-19.6,-18.2,10.550999999999998,9.941,9.886000000000001,0.519,      ,14352.0,7.61,0
97,4095,58,604,1,3.1119689999999998,4.196214,14.8,30.6,9.902000000000001,9.488,9.451,0.35200000000000004,19325,,,0
98,4096,58,607,1,3.03959,4.352899,24.0,11.9,5.4879999999999995,5.597,5.607,-0.09300000000000001,18883,14143.0,7.32,0
99,4097,58,611,1,3.106263,3.8101300000000005,18.2,5.1,7.96,7.79,7.775,0.145,19294,14438.0,1.91,0
100,4098,58,688,1,3.0641950000000002,3.6489629999999997,25.2,-28.4,11.86,10.834000000000001,10.742,0.872,      ,,,0
101,4099,58,693,1,3.076853,4.126462,19.2,-3.6,11.815999999999999,10.857000000000001,10.770999999999999,0.815,      ,,,0
102,4100,58,730,1,3.0903650000000003,3.6466269999999996,1.6,-11.0,12.395,11.208,11.100999999999999,1.0090000000000001,      ,,,0
103,4101,58,742,1,3.1084259999999997,3.735358,5.8,-32.2,11.692,11.002,10.94,0.5870000000000001,      ,,,0
104,4102,58,786,1,3.0836799999999998,4.465607,15.7,-10.8,10.442,9.36,9.263,0.92,19147,,,0
105,4103,58,805,1,3.046149,3.6307099999999997,49.8,7.6,9.954,9.288,9.228,0.5660000000000001,      ,14174.0,6.64,0
106,4104,58,815,1,3.039745,3.951079,-21.3,-8.6,10.692,9.511000000000001,9.405,1.004,      ,,,0
107,4126,58,1618,1,3.037995,4.089773,3.4,-62.8,4.688,2.736,2.56,1.659,18884,14135.0,14.82,0
108,4147,59,333,1,3.240071,4.94079,14.6,-20.0,11.242,10.669,10.617,0.48700000000000004,      ,,,0
109,4148,59,367,1,3.251249,4.7766519999999995,-2.4,9.1,11.758,11.12,11.062999999999999,0.542,      ,,,0
110,4149,59,470,1,3.192884,4.723268,-4.0,-7.6,9.06,8.02,7.926,0.884,19847,14835.0,4.77,0
