HIP;RA_J2000;DE_J2000;Plx;pmRA;pmDE;Vmag;B-V;is_hyades;cluster;silhouette
20189;4.327291;9.32921;4.14;-9.21;-20.12;9.53;0.571;0;0;0.0694443685
20986;4.500841;8.192268;4.12;-2.99;-1.05;9.72;0.725;0;0;0.075464342
18927;4.057153;13.942681;4.07;-1.72;-8.51;9.72;0.387;0;0;0.2601782115
22857;4.917774;8.969791;4.05;11.85;-21.75;9.6;0.741;0;0;0.1889715726
22831;4.912635;11.928769;4.03;7.67;-4.07;8.21;0.218;0;0;0.176582748
23599;5.074108;10.186808;3.98;112.43;-94.14;10.32;0.59;0;0;0.2580556301
21792;4.681142;7.942254;3.87;37.01;-8.84;9.92;0.585;0;0;0.159294068
22004;4.730319;15.831329;3.75;2.13;-40.26;10.58;0.653;0;0;0.4185320933
23163;4.983296;12.960667;3.75;1.63;12.69;9.41;0.461;0;0;0.4409916737
22556;4.854048;14.356394;3.68;1.18;-20.14;10.74;0.839;0;0;0.3512330687
21446;4.605449;11.4125;3.65;2.95;-7.52;6.74;0.263;0;0;0.3351893148
21820;4.688821;15.51194;3.62;-1.5;0.91;9.96;0.494;0;0;0.4534679734
18890;4.049656;11.366081;3.62;-10.5;-4.69;9.79;0.465;0;0;0.0583331671
21350;4.581311;18.413403;3.54;2.03;-4.43;8.06;0.21;0;0;0.0730470055
23544;5.063104;10.855217;3.54;-10.52;-17.23;9.59;0.456;0;0;0.2354396608
23858;5.127633;12.541195;3.53;7.88;-1.68;8.18;0.778;0;0;0.2460182637
20734;4.443753;9.394247;3.42;9.28;-0.94;8.1;0.088;0;0;0.0589896648
23960;5.149856;10.415823;3.38;-5.83;6.72;9.35;0.545;0;0;0.203854356
23962;5.15067;12.948474;3.35;-10.48;-12.57;9.29;0.461;0;0;0.3486857436
22386;4.819192;11.851933;3.31;-3.13;4.97;8.4;0.34;0;0;0.3588926055
20832;4.464341;10.291498;3.26;3.69;-6.01;10.5;0.609;0;0;0.2889989631
22129;4.762411;10.274298;3.26;-11.83;-1.59;9.44;0.439;0;0;0.3373612042
21304;4.572886;8.187201;3.2;28.59;3.89;8.32;0.233;0;0;0.0153167768
23099;4.970135;14.396307;3.13;-2.19;8.43;10.59;0.522;0;0;0.4266526621
18683;4.000992;13.190331;2.98;7.41;-13.71;10.31;0.576;0;0;0.2153762866
24637;5.286613;8.9132;2.96;6.32;-17.57;9.07;0.608;0;0;0.0044371117
22416;4.824072;10.988396;2.9;-5.59;-3.81;9.12;0.332;0;0;0.2763986417
22914;4.931157;13.630912;2.73;2.69;-5.9;7.8;0.103;0;0;0.1643989123
23974;5.15259;13.965194;2.63;-31.45;-3.84;9.96;0.492;0;0;0.3472145079
24132;5.183056;14.921793;2.61;-10.78;-7.85;7.93;0.09;0;0;0.0280294764
23094;4.969842;15.798595;2.57;-5.81;-6.53;8.46;0.503;0;0;0.2996003019
20216;4.331906;10.618996;2.45;5.85;-16.24;9.27;0.596;0;0;0.2352096435
23406;5.030206;11.38315;2.24;-1.01;-14.15;10.08;0.742;0;0;0.2918787359
23939;5.145075;15.103823;2.03;13.33;-9.14;7.98;0.104;0;0;0.0401604999
22568;4.857307;15.88152;1.87;-2.59;-2.7;8.47;0.68;0;0;0.3630699263
23669;5.087936;15.2399;1.81;10.25;-5.79;7.69;0.204;0;0;0.118930964
20672;4.428256;9.72504;1.77;14.17;-12.68;8.6;0.625;0;0;0.2019525056
18443;3.94257;11.99819;1.72;-1.07;0.48;10.24;0.673;0;0;0.0535405753
21904;4.7104;12.311126;1.69;1.24;0.89;8.16;0.755;0;0;0.4452648105
21371;4.585785;7.773687;1.33;4.37;-11.98;10.68;0.417;0;0;0.0628415703
19886;4.265883;12.099401;0.94;30.56;-20.18;10.73;0.457;0;0;0.3236820055
21866;4.701491;11.856022;0.79;8.01;-3.14;10.39;0.432;0;0;0.4747082796
20182;4.326114;14.692331;0.71;3.67;8.9;8.77;0.564;0;0;0.4101373804
