,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
680,680,17489,3.746727,24.28947,9.75,20.73,-44.0,5.45,-0.034,0,1,0.03063240382634431
683,683,17572,3.76356,23.147149,9.68,21.06,-44.49,6.85,0.06,0,1,0.045006961170618066
684,684,18544,3.967137,20.676803,9.68,20.59,-49.46,9.4,0.518,0,1,0.14330620384306733
686,686,17595,3.769267,6.803521000000001,9.68,-1.82,-55.42,5.91,0.992,0,1,0.1494810992673665
690,690,17776,3.805782,23.42125,9.64,19.14,-46.8,5.44,-0.067,0,1,0.08929672941182441
693,693,25848,5.517885,23.20966,9.61,7.5,-38.97,9.17,0.649,0,1,-0.1698431242352195
695,695,27347,5.792374,15.714408,9.59,3.86,-150.22,8.3,0.858,0,1,0.33307651281779055
696,696,15110,3.24836,21.044441,9.59,-29.83,-77.15,4.87,-0.006999999999999999,0,1,0.26689519069386325
703,703,17142,3.671022,7.585275999999999,9.52,-58.78,-42.32,7.45,0.309,0,1,-0.0811875811393888
704,704,26157,5.576438,17.140369,9.49,-39.41,-72.02,9.01,0.7509999999999999,0,1,0.2082039601784253
706,706,17401,3.728204,23.64915,9.48,20.36,-45.1,7.93,0.34700000000000003,0,1,0.057147385393471986
708,708,25790,5.507268,15.360449,9.47,-13.48,-38.58,5.93,0.103,0,1,-0.22733989021769077
710,710,13940,2.993051,5.6855129999999985,9.47,-58.97,-86.23,12.1,1.211,0,1,0.20942777000655224
717,717,21194,4.54429,12.216408,9.42,-67.09,-150.2,10.93,0.759,0,1,0.2521321265635648
722,722,19358,4.147084,17.291657,9.37,14.44,-40.14,7.64,0.156,0,1,-0.11387556597654269
728,728,20597,4.411671,10.046659,9.31,23.43,-51.52,7.22,0.21,0,1,0.15719966155660423
729,729,19271,4.13086,5.6927080000000005,9.27,-5.76,-80.28,9.61,0.602,0,1,0.3416277240871653
731,731,13530,2.904225,13.331008,9.25,-20.32,-127.25,8.74,0.8290000000000001,0,1,0.34283630770618845
732,732,16689,3.578571,6.843291000000002,9.24,18.57,-50.69,9.58,0.6809999999999999,0,1,0.12387338113990312
733,733,17225,3.689713,23.486938,9.21,22.49,-44.32,9.17,0.4370000000000001,0,1,0.04237980356187894
736,736,16511,3.5433190000000003,9.373438,9.18,32.55,-49.15,5.76,-0.07200000000000001,0,1,0.11587528174206635
739,739,15668,3.364243,11.309447,9.15,65.11,-76.38,10.39,0.887,0,1,0.2059109023195218
746,746,17608,3.772104,23.948358,9.08,21.17,-42.67,4.14,-0.051,0,1,-0.0048013354312738035
747,747,23085,4.968476,13.034872,9.08,10.9,-57.38,10.43,0.87,0,1,0.22981895762261226
