,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades
238,20711,4.438462,22.813582999999998,21.07,108.66,-45.83,4.28,0.263,0
239,21261,4.561647,19.014032,21.06,102.3,-34.96,10.74,1.197,0
240,20889,4.4769440000000005,19.180432,21.04,107.23,-36.77,3.53,1.014,1
241,26444,5.626968,6.112006,21.01,93.4,-89.05,7.64,0.578,0
242,20616,4.416757,11.977924,21.0,43.19,-16.32,8.41,0.639,0
243,20713,4.439095,15.618265,20.86,114.66,-33.3,4.48,0.262,1
244,20842,4.466883999999999,21.619907,20.85,98.82,-40.59,5.72,0.27,0
245,21654,4.649254,14.105579,20.81,103.31,-21.62,7.96,0.655,0
246,20679,4.4298779999999995,18.017272,20.79,112.62,-35.79,8.99,0.935,1
247,20577,4.407868,16.886166,20.73,110.89,-24.72,7.79,0.599,1
248,22044,4.740508,11.146137,20.73,98.87,-13.47,5.39,0.251,0
249,20885,4.476249,15.962181,20.66,104.76,-15.01,3.84,0.9520000000000001,1
250,20480,4.389536,21.379095,20.63,99.77,-39.07,8.84,0.758,1
251,20916,4.48327,16.159092,20.58,90.28,-25.47,6.59,0.536,1
252,25127,5.378533999999999,13.229082,20.54,15.31,-45.45,9.15,0.706,0
253,27802,5.883271,15.170895999999999,20.53,175.68,103.31,10.39,1.4,0
254,21683,4.654584,15.917976999999999,20.51,82.4,-19.53,4.67,0.147,0
255,14711,3.167813,12.996819,20.47,-120.41,-164.81,11.13,1.01,0
256,17472,3.744322,10.177942999999999,20.41,170.32,-231.35,8.62,0.66,0
257,20614,4.415869,19.042013,20.4,110.73,-32.5,5.97,0.37799999999999995,0
258,20901,4.480601,13.047602000000001,20.33,105.17,-15.08,5.02,0.215,0
259,14809,3.187178,22.415865,20.24,56.04,-125.11,8.51,0.71,0
260,15304,3.290663,7.655808,20.2,169.3,-7.64,7.38,0.5670000000000001,0
261,22550,4.853482,11.068026,20.15,87.6,-8.72,6.79,0.5429999999999999,1
262,20187,4.326909,12.624322,20.13,168.47,-19.23,9.81,0.924,0
263,20890,4.477004,19.740685,20.09,99.83,-39.82,8.62,0.741,0
264,20491,4.3917779999999995,24.405402,20.04,93.11,-45.08,7.18,0.462,1
265,16405,3.520951,20.768072,20.04,-112.36,-196.42,8.08,0.68,0
266,21961,4.720488,24.08892,20.03,15.62,-18.3,6.18,0.544,0
267,20082,4.305354,16.088341,20.01,121.88,-19.72,9.57,0.98,1
268,23497,5.051596,21.589962,20.01,68.94,-40.85,4.62,0.155,0
269,25195,5.390704,16.981491000000002,19.97,6.43,-152.28,8.11,0.606,0
270,21008,4.504992,19.840576000000002,19.94,94.9,-28.3,7.09,0.47,1
271,20350,4.358964,18.417582,19.83,111.05,-31.69,6.8,0.441,1
272,13674,2.935377,7.9225389999999996,19.81,186.3,-46.04,9.93,1.055,0
273,19098,4.094354,17.937707,19.81,126.34,-29.13,9.31,0.89,0
274,22265,4.793769,18.258720999999998,19.81,78.87,-38.81,8.54,0.72,0
275,27118,5.750498,4.008111,19.79,-11.0,-34.02,6.09,0.32,0
276,22688,4.879192,14.623128,19.75,200.05,-37.85,7.51,0.639,0
277,15572,3.3436120000000003,9.033552,19.71,287.04,-62.85,8.46,0.69,0
278,19263,4.128667,16.518789,19.7,123.1,-25.25,9.94,1.005,0
279,22422,4.82559,15.888748000000001,19.68,87.37,-23.68,7.72,0.578,0
280,23069,4.963751,14.002185999999998,19.66,67.17,-19.49,8.89,0.737,0
281,20086,4.306108999999999,17.421641,19.57,120.57,-40.55,10.01,1.097,1
282,20349,4.358791,21.039877,19.55,105.2,-36.0,6.79,0.434,1
283,19870,4.261788,20.819794,19.48,111.21,-36.57,7.83,0.705,0
284,19934,4.275966,21.907469,19.48,105.61,-37.59,9.14,0.813,1
285,21788,4.680297,23.809625,19.48,63.12,-48.26,8.84,0.688,0
286,20357,4.359665000000001,14.409789000000002,19.46,105.19,-19.11,6.6,0.41200000000000003,1
287,21112,4.524819,13.903469,19.46,92.6,-19.96,7.78,0.54,0
288,14838,3.193824,19.726677,19.44,154.61,-8.39,4.35,1.033,0
289,21670,4.65171,7.870976,19.44,91.87,-4.56,5.38,0.257,0
290,22203,4.775108,15.47205,19.42,91.37,-24.72,8.3,0.665,0
291,20563,4.404706,18.002914,19.35,112.72,-33.2,9.99,1.05,0
292,14175,3.046267,12.354023,19.33,196.19,14.14,10.21,1.382,0
293,26864,5.703647,7.401999000000001,19.31,-330.36,-360.59,10.83,1.04,0
294,22524,4.846818,16.210455,19.3,83.97,-24.87,7.29,0.536,1
