HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
17960,3.839713,17.476366,21.5,114.24,-252.31,7.5,0.653,0,1,0.4128915008
21673,4.65256,15.799846,21.49,32.4,-77.67,5.08,0.141,0,1,0.0345720397
18433,3.941313,22.674394,21.41,174.27,-233.12,7.84,0.688,0,1,0.3589696996
19148,4.10448,15.69812,21.41,118.53,-19.59,7.85,0.593,0,1,0.3410704032
17962,3.840269,17.246506,21.37,130.19,-23.3,9.46,0.782,0,1,0.2122448618
14705,3.166575,15.373237,21.3,-96.99,-281.02,9.06,0.825,0,1,0.0750383206
20635,4.422824,22.293874,21.27,105.49,-44.14,4.21,0.136,0,1,0.158494743
20484,4.390295,16.77726,21.17,105.09,-27.62,5.64,0.31,0,1,0.2648221686
20711,4.438462,22.813583,21.07,108.66,-45.83,4.28,0.263,0,1,0.1496690653
20842,4.466884,21.619907,20.85,98.82,-40.59,5.72,0.27,0,1,0.1484117241
21683,4.654584,15.917977,20.51,82.4,-19.53,4.67,0.147,0,1,0.0320822715
20614,4.415869,19.042013,20.4,110.73,-32.5,5.97,0.378,0,1,0.243025504
14809,3.187178,22.415865,20.24,56.04,-125.11,8.51,0.71,0,1,0.2872208231
20890,4.477004,19.740685,20.09,99.83,-39.82,8.62,0.741,0,1,0.1169689882
16405,3.520951,20.768072,20.04,-112.36,-196.42,8.08,0.68,0,1,0.3783222797
19870,4.261788,20.819794,19.48,111.21,-36.57,7.83,0.705,0,1,0.2794570115
21112,4.524819,13.903469,19.46,92.6,-19.96,7.78,0.54,0,1,0.1273437831
14974,3.217248,20.729908,19.2,-44.39,-65.23,8.65,0.617,0,1,0.3971462144
15381,3.305551,18.171623,19.19,-82.92,-103.63,7.52,0.642,0,1,0.3852553353
14810,3.187286,21.097359,18.91,-3.01,-53.57,8.52,0.777,0,1,0.2145388493
13600,2.92119,17.89171,18.89,117.79,-13.2,8.83,0.704,0,1,0.2470459702
17305,3.704422,22.786456,18.79,21.57,-75.5,7.4,0.428,0,1,0.5011173584
15278,3.285144,24.03515,18.4,107.1,6.09,8.96,0.719,0,1,0.2691385967
20087,4.306445,21.579297,18.25,96.42,-33.92,5.64,0.277,0,1,0.2789765574
16538,3.549315,16.598428,18.16,-22.39,-96.1,7.03,0.503,0,1,0.4227683191
19789,4.241783,22.451865,18.12,95.09,-34.1,7.05,0.424,0,1,0.310683399
14721,3.169418,18.345566,17.55,163.7,-58.68,8.69,0.682,0,1,0.319497665
15394,3.307538,15.177348,17.54,-1.48,-301.25,7.42,0.79,0,1,0.1155830743
13631,2.92564,18.773795,17.36,282.82,-146.54,9.74,0.839,0,1,0.0914775039
18609,3.982077,16.903445,17.31,78.71,-144.74,8.89,0.784,0,1,0.1961160179
18843,4.040634,15.133955,17.28,16.45,28.53,9.57,0.697,0,1,0.2282994191
19157,4.106361,14.402211,16.75,66.54,59.34,7.3,0.496,0,1,0.2276938663
13801,2.961878,23.962381,16.51,-25.05,-92.03,9.87,0.774,0,1,0.1835782246
17684,3.788095,23.726751,16.1,-34.04,-25.39,6.98,0.542,0,1,0.441828431
18719,4.010983,20.380424,16.04,142.36,-76.67,8.66,0.705,0,1,0.3612167423
13589,2.918026,21.595149,16.01,146.33,-99.03,8.66,0.66,0,1,0.2981503046
18347,3.922546,19.380886,16,182.14,-105.11,8.88,0.608,0,1,0.4799264063
16824,3.608002,23.797292,15.66,53,-103.72,8.62,0.669,0,1,0.3495064598
15412,3.31146,18.472875,15.52,38.53,-35.35,8.7,0.71,0,1,0.3098070402
20769,4.450173,19.117651,15.26,95.44,-130.1,7.69,0.586,0,1,0.1897139385
15249,3.278508,15.657229,15.18,111.79,-200.82,8.76,0.67,0,1,0.222674372
18625,3.985951,22.988234,15.01,-15.95,-79.55,8.7,0.556,0,1,0.407509861
17830,3.815609,16.459486,14.94,-47.38,-103.84,7.22,0.432,0,1,0.4524416575
16891,3.622412,15.095407,14.67,-20.8,-61.89,8.24,0.534,0,1,0.2737962912
16136,3.465362,18.882333,14.32,13.54,-61.28,8.46,0.568,0,1,0.4848757684
19120,4.098709,15.498995,13.98,36.52,-37.98,8.15,0.564,0,1,0.3328777688
14048,3.014851,15.03117,13.98,-74.85,-74.23,7.31,0.553,0,1,0.1546849425
14152,3.040947,22.373501,13.81,101.08,-31.7,7.92,0.506,0,1,0.4202544485
17589,3.767997,21.998472,13.58,-125.75,-139.38,9.46,0.676,0,1,0.3852316647
13855,2.97327,19.229284,13.57,48.54,-60.45,8.78,0.652,0,1,0.3188041616
