recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,cluster,silhouette
153251,1815,381,1,4.277806,23.646626,117.4,-61.4,10.939,10.156,10.086,0.666,      ,,,0,3,0.1862223162
153267,1815,680,1,4.252951,23.114431,111.3,-39.5,11.983,10.962,10.87,0.868,      ,,,0,3,0.3884467511
153298,1815,1630,1,4.319155,24.139966,59.1,-21.5,11.918,10.755,10.65,0.989,      ,,,0,3,0.117325799
153299,1815,1717,1,4.287125,22.665556,82.1,50.4,11.955,11.228,11.163,0.618,      ,,,0,3,0.2791396142
153305,1815,1949,1,4.302997,23.28466,90.6,-38.9,10.547,9.548,9.458,0.849,284303,,,0,3,0.3724144086
153312,1816,251,1,4.430869,23.562931,53.6,-38,9.624,9.087,9.039,0.456,27972,,,0,3,-0.1012746405
153356,1817,20,1,3.989203,24.380134,56.2,-3.4,12.133,10.932,10.824,1.021,283271,,,0,3,0.1069989463
153992,1832,123,1,4.9368,24.24712,89.1,14.5,11.637,10.802,10.727,0.71,      ,,,0,3,0.4184449579
154045,1832,2091,1,5.02153,22.80017,76.5,23.3,10.261,9.529,9.463,0.622,284983,,,0,3,0.3378000696
154601,1847,504,1,5.332076,23.21404,62,-27.2,12.228,10.85,10.726,1.171,      ,,,0,3,0.1612490363
154743,1849,1790,1,5.040234,24.49288,62.9,65.6,9.754,8.98,8.91,0.658,32199,,,0,3,0.1026389785
155551,1862,1151,1,5.851483,23.727383,160.8,-79.8,11.441,10.502,10.417,0.798,      ,,,0,3,0.1176946143
155806,1864,1235,1,6.059946,24.198393,57.5,2.8,11.492,10.761,10.695,0.621,      ,,,0,3,0.1482668359
